TotalEmissions,TransportationTotalEmissions,HousingTotalEmissions,FoodTotalEmissions,GoodsTotalEmissions,ServicesTotalEmissions,CensusTract
31243503.1365806,4828692.33260634,6737433.38945483,7865495.21504505,4651372.39681566,7160509.80265875,360610047002019
30404794.3165152,5099066.93849318,6173009.32120419,7494403.66235196,4462937.254248,7175377.14021787,360610050002019
29453129.035921,4948088.3702631,5490475.85165604,7564552.40205181,4479657.50612845,6970354.9058216,360610095002019
29891081.1345865,4803957.07080294,6479008.23610153,7376891.82867922,4365688.65068084,6865535.34832202,360610098002019
30350817.0936969,3791485.17799652,8141975.06524019,7790510.95891688,4369437.12981416,6257408.76172913,360610208002019
23172660.4316675,2677616.23386566,4958982.14594502,6756855.91896994,3662133.01661308,5117073.11627383,360610174022019
34406363.6174588,5295366.89561199,8013187.9981695,8510277.54606573,5013575.39115105,7573955.78646055,360610187002019
24433237.0315888,2579833.51677711,6333828.51820687,6787123.34445119,3681148.36343474,5051303.2887189,360610189002019
23687933.7124969,2280973.29980804,6561147.17035388,6699270.83756459,3523709.36186389,4622833.0429065,360610210002019
27613037.8208169,2915048.82310294,7150168.5957389,7677832.46632116,4173219.79634626,5696768.13930761,360610225002019
26219867.6654189,3149064.07764105,6659751.47699363,7580972.50472322,3911600.63899258,4918478.96706845,360610243012019
22006100.0223832,2441748.94601918,5477084.84400243,6556605.49368598,3337144.31447563,4193516.42419995,360610243022019
32422506.6652949,7918367.80229063,6671649.78529731,7539773.7065314,4212435.74921993,6080279.62195565,360610273002019
25623407.5442585,3598605.72661588,6420769.4560832,7013718.07774333,3684450.73820647,4905863.54560965,360610287002019
21978941.6297383,2105463.73410194,5443599.2329629,6647891.41606212,3403320.40311595,4378666.84349542,360610309002019
25627240.9896402,3693851.52205227,5650597.62469633,6663272.42821016,3821960.63008632,5797558.78459514,360610040002019
20576977.7246065,2847863.67857841,3937762.20892064,5999021.19046684,3262109.5027244,4530221.14391618,360610026012019
