BORO,ZIP CODE,count,coords,bbl
BRONX,10467,1,-73.877965,40.875418,2033420029
BROOKLYN,11222,1,-73.941885,40.720155,3028320008
MANHATTAN,10029,1,-73.947351,40.792029,1016330010
MANHATTAN,10030,1,-73.941643,40.819611,1020270024
QUEENS,11436,1,-73.799415,40.675021,4120330046
MANHATTAN,10036,1,-73.991571,40.761565,1010560022
BRONX,10453,1,-73.908231,40.849929,2028280037
STATEN ISLAND,10309,1,-74.222414,40.512036,5076640001
MANHATTAN,10024,1,-73.97715,40.789277,1012340061
BROOKLYN,11221,2,-73.928909,40.690443,3016220060
MANHATTAN,10001,1,-73.993092,40.748949,1007800026
MANHATTAN,10027,1,-73.954213,40.811822,1019660070
MANHATTAN,10014,1,-74.000646,40.732768,1005920069
QUEENS,11413,1,-73.737725,40.675869,4129710052
BRONX,10454,1,-73.915527,40.806254,2025510058
BRONX,10467,2,-73.85901,40.8851,2048360007
QUEENS,11102,1,-73.930653,40.773481,4005100006
QUEENS,11372,1,-73.87242,40.756599,4017100010
MANHATTAN,10037,1,-73.938684,40.815875,1017360007
BROOKLYN,11233,1,-73.921818,40.674112,3014510006
QUEENS,11691,1,-73.752715,40.60076,4155640079
MANHATTAN,10027,1,-73.956074,40.814886,1019830011
BROOKLYN,11213,1,-73.932131,40.669651,3013900129
MANHATTAN,10025,1,-73.969285,40.79654,1018710029
QUEENS,11432,1,-73.809815,40.718757,4067130041
QUEENS,11101,1,-73.935598,40.752739,4003980039
BROOKLYN,11233,1,-73.913659,40.680344,3015270004
MANHATTAN,10019,2,-73.98706,40.763707,1010420015
BRONX,10462,1,-73.862319,40.834681,2039360032
MANHATTAN,10022,1,-73.969943,40.758407,1013087501
MANHATTAN,10011,1,-74.001958,40.744087,1007430072
BRONX,10461,1,-73.843804,40.838537,2038480018
BROOKLYN,11221,1,-73.942201,40.691173,3017870001
BROOKLYN,11233,1,-73.933244,40.681674,3016750019
QUEENS,11101,1,-73.929982,40.737123,4002330001
BROOKLYN,11206,2,-73.947118,40.695373,3017550032
BROOKLYN,11238,1,-73.959907,40.673686,3011750001
QUEENS,11420,1,-73.813808,40.684812,4096090114
BROOKLYN,11203,1,-73.933679,40.632307,3077480044
STATEN ISLAND,10304,1,-74.078684,40.623378,5005330036
STATEN ISLAND,10304,1,-74.078684,40.623378,5005330036
STATEN ISLAND,10303,1,-74.158371,40.63476,5012250043
BROOKLYN,11216,1,-73.943851,40.681237,3018510039
QUEENS,11432,1,-73.794362,40.706884,4097960053
QUEENS,11422,1,-73.73437,40.671926,4132210027
MANHATTAN,10075,1,-73.955555,40.773232,1014330127
BROOKLYN,11233,1,-73.918127,40.678428,3015490012
BROOKLYN,11213,1,-73.944547,40.668783,3012710001
BRONX,10452,1,-73.924921,40.841835,2025350026
MANHATTAN,10009,2,-73.979868,40.727884,1004050041
BRONX,10469,1,-73.884395,40.842373,2031210033
BROOKLYN,11226,1,-73.955119,40.648472,3051100012
BRONX,10466,1,-73.849365,40.891073,2049750001
QUEENS,11433,2,-73.797056,40.698152,4101250010
QUEENS,11385,1,-73.892335,40.701554,4036390001
BRONX,10459,1,-73.898525,40.820731,2026960095
QUEENS,11103,1,-73.914553,40.756619,4007080040
BROOKLYN,11216,1,-73.950613,40.690524,3017840011
BRONX,10451,2,-73.913389,40.822757,2023810029
BROOKLYN,11212,1,-73.906176,40.66117,3036050010
BROOKLYN,11221,2,-73.917276,40.689296,3033740001
QUEENS,11432,2,-73.798707,40.704857,4097600013
MANHATTAN,10011,1,-73.998636,40.737799,1006090020
QUEENS,11372,2,-73.880669,40.752436,4014470035
STATEN ISLAND,10304,2,-74.075695,40.625817,5005250021
BROOKLYN,11220,2,-74.009906,40.644618,3007920012
BRONX,10457,1,-73.89559,40.85224,2030370015
MN,11220,1,-74.014162,40.637551,3057840001
BRONX,10459,1,-73.899242,40.822306,2026900155
BRONX,10458,1,-73.894721,40.856389,2030310007
